channel_id	cluster_id	classification
41	-1	noise
42	-1	noise
43	-1	noise
44	-1	noise
45	-1	noise
46	-1	noise
47	-1	noise
48	-1	noise
49	-1	noise
50	-1	noise
51	-1	noise
52	-1	noise
53	-1	noise
54	-1	noise
55	-1	noise
56	-1	noise
57	-1	noise
58	-1	noise
59	-1	noise
60	-1	noise
61	-1	noise
62	-1	noise
63	-1	noise
64	-1	noise
65	-1	noise
66	-1	noise
67	-1	noise
68	-1	noise
69	-1	noise
70	-1	noise
71	-1	noise
72	-1	noise
73	-1	noise
74	-1	noise
75	-1	noise
76	-1	noise
77	-1	noise
78	-1	noise
79	-1	noise
80	-1	noise
81	-1	noise
82	-1	noise
83	-1	noise
84	-1	noise
85	-1	noise
86	-1	noise
87	-1	noise
88	-1	noise
89	-1	noise
90	-1	noise
91	-1	noise
92	-1	noise
93	-1	noise
94	-1	noise
95	-1	noise
96	-1	noise
97	-1	noise
98	-1	noise
99	-1	noise
100	-1	noise
101	-1	noise
102	-1	noise
103	-1	noise
104	-1	noise
105	-1	noise
106	-1	noise
107	-1	noise
108	-1	noise
109	-1	noise
110	-1	noise
111	-1	noise
112	-1	noise
113	-1	noise
114	-1	noise
115	-1	noise
116	-1	noise
117	-1	noise
118	-1	noise
119	-1	noise
120	-1	noise
121	-1	noise
122	-1	noise
123	-1	noise
124	-1	noise
125	-1	noise
126	-1	noise
127	-1	noise
128	-1	noise
129	-1	noise
130	-1	noise
131	-1	noise
132	-1	noise
133	-1	noise
134	-1	noise
135	-1	noise
136	-1	noise
137	-1	noise
138	-1	noise
139	-1	noise
140	-1	noise
141	-1	noise
142	-1	noise
143	-1	noise
144	-1	noise
145	-1	noise
146	-1	noise
147	-1	noise
148	-1	noise
149	-1	noise
150	-1	noise
158	-1	noise
159	-1	noise
160	-1	noise
161	-1	noise
162	-1	noise
163	-1	noise
164	-1	noise
165	-1	noise
166	-1	noise
167	-1	noise
168	-1	noise
169	-1	noise
170	-1	noise
171	-1	noise
172	-1	noise
173	-1	noise
174	-1	noise
175	-1	noise
176	-1	noise
177	-1	noise
178	-1	noise
179	-1	noise
180	-1	noise
181	-1	noise
182	-1	noise
183	-1	noise
184	-1	noise
185	-1	noise
186	-1	noise
187	-1	noise
188	-1	noise
189	-1	noise
190	-1	noise
191	-1	noise
192	-1	noise
193	-1	noise
194	-1	noise
195	-1	noise
196	-1	noise
197	-1	noise
198	-1	noise
199	-1	noise
200	-1	noise
201	-1	noise
202	-1	noise
203	-1	noise
204	-1	noise
205	-1	noise
206	-1	noise
207	-1	noise
208	-1	noise
209	-1	noise
210	-1	noise
211	-1	noise
212	-1	noise
213	-1	noise
214	-1	noise
215	0	cluster
216	0	cluster
217	0	cluster
218	0	cluster
219	0	cluster
220	0	cluster
221	0	cluster
222	0	cluster
223	0	cluster
224	0	cluster
225	0	cluster
226	0	cluster
227	0	cluster
228	0	cluster
229	0	cluster
230	0	cluster
231	0	cluster
232	0	cluster
233	0	cluster
234	0	cluster
235	0	cluster
236	0	cluster
237	0	cluster
238	0	cluster
239	0	cluster
240	0	cluster
241	0	cluster
242	0	cluster
243	0	cluster
244	0	cluster
245	0	cluster
246	0	cluster
247	0	cluster
248	0	cluster
249	0	cluster
250	0	cluster
251	0	cluster
252	0	cluster
253	0	cluster
254	0	cluster
255	0	cluster
256	0	cluster
257	0	cluster
258	0	cluster
259	0	cluster
260	0	cluster
261	0	cluster
262	0	cluster
263	0	cluster
264	0	cluster
265	0	cluster
266	0	cluster
267	0	cluster
268	0	cluster
269	0	cluster
270	0	cluster
271	0	cluster
272	0	cluster
273	0	cluster
274	0	cluster
275	0	cluster
276	0	cluster
277	0	cluster
278	0	cluster
279	0	cluster
280	0	cluster
281	0	cluster
289	0	cluster
290	0	cluster
291	0	cluster
292	0	cluster
293	-1	noise
294	-1	noise
295	-1	noise
296	-1	noise
297	-1	noise
298	-1	noise
299	-1	noise
300	-1	noise
301	-1	noise
302	-1	noise
303	-1	noise
304	-1	noise
305	-1	noise
306	-1	noise
307	-1	noise
308	1	cluster
309	1	cluster
310	1	cluster
311	1	cluster
312	1	cluster
313	1	cluster
314	1	cluster
315	1	cluster
316	1	cluster
317	1	cluster
318	1	cluster
319	1	cluster
320	1	cluster
321	1	cluster
322	1	cluster
323	1	cluster
324	1	cluster
325	1	cluster
326	1	cluster
327	1	cluster
328	1	cluster
329	1	cluster
330	1	cluster
331	1	cluster
332	1	cluster
333	1	cluster
334	1	cluster
335	1	cluster
336	1	cluster
337	1	cluster
338	1	cluster
339	1	cluster
340	1	cluster
341	1	cluster
342	1	cluster
343	1	cluster
344	1	cluster
345	1	cluster
346	1	cluster
347	1	cluster
348	1	cluster
349	1	cluster
350	1	cluster
351	1	cluster
352	1	cluster
353	1	cluster
354	1	cluster
355	1	cluster
356	1	cluster
357	1	cluster
358	1	cluster
359	1	cluster
360	1	cluster
361	1	cluster
362	1	cluster
363	1	cluster
364	1	cluster
365	1	cluster
366	1	cluster
367	1	cluster
368	1	cluster
369	1	cluster
370	1	cluster
371	1	cluster
372	1	cluster
373	1	cluster
374	1	cluster
375	1	cluster
376	1	cluster
377	1	cluster
378	1	cluster
379	1	cluster
380	1	cluster
381	1	cluster
382	1	cluster
383	1	cluster
384	1	cluster
385	1	cluster
386	1	cluster
395	1	cluster
396	1	cluster
397	1	cluster
398	1	cluster
399	1	cluster
400	1	cluster
401	1	cluster
402	1	cluster
403	1	cluster
404	1	cluster
405	1	cluster
406	1	cluster
407	1	cluster
408	1	cluster
409	1	cluster
410	1	cluster
411	1	cluster
412	1	cluster
413	1	cluster
414	1	cluster
415	1	cluster
416	1	cluster
417	1	cluster
418	1	cluster
419	1	cluster
420	1	cluster
421	1	cluster
422	1	cluster
423	1	cluster
424	1	cluster
425	1	cluster
426	1	cluster
427	1	cluster
428	1	cluster
429	1	cluster
430	-1	noise
431	-1	noise
432	-1	noise
433	-1	noise
434	-1	noise
435	-1	noise
436	-1	noise
437	-1	noise
438	-1	noise
439	-1	noise
440	-1	noise
441	-1	noise
442	2	cluster
443	2	cluster
444	2	cluster
445	2	cluster
446	2	cluster
447	2	cluster
448	2	cluster
449	2	cluster
450	2	cluster
451	2	cluster
452	2	cluster
453	2	cluster
454	2	cluster
455	2	cluster
456	2	cluster
457	2	cluster
458	2	cluster
459	2	cluster
460	2	cluster
461	2	cluster
462	2	cluster
463	2	cluster
464	2	cluster
465	2	cluster
466	2	cluster
467	2	cluster
468	2	cluster
469	2	cluster
470	2	cluster
471	2	cluster
472	2	cluster
473	2	cluster
474	2	cluster
475	2	cluster
476	2	cluster
477	2	cluster
478	2	cluster
479	2	cluster
480	2	cluster
481	2	cluster
482	2	cluster
483	2	cluster
484	2	cluster
485	2	cluster
486	2	cluster
487	2	cluster
488	2	cluster
489	2	cluster
490	2	cluster
491	2	cluster
492	2	cluster
493	2	cluster
494	2	cluster
495	2	cluster
496	2	cluster
497	2	cluster
498	2	cluster
499	2	cluster
500	2	cluster
501	2	cluster
502	2	cluster
503	2	cluster
504	2	cluster
505	2	cluster
506	2	cluster
507	2	cluster
508	2	cluster
509	2	cluster
510	2	cluster
511	2	cluster
512	2	cluster
513	2	cluster
514	2	cluster
515	2	cluster
516	2	cluster
517	2	cluster
518	2	cluster
519	2	cluster
520	2	cluster
521	2	cluster
522	2	cluster
523	2	cluster
533	2	cluster
534	2	cluster
535	2	cluster
536	2	cluster
537	2	cluster
538	2	cluster
539	2	cluster
540	2	cluster
541	2	cluster
542	2	cluster
543	2	cluster
544	2	cluster
545	2	cluster
546	2	cluster
547	2	cluster
548	2	cluster
549	2	cluster
550	2	cluster
551	2	cluster
552	2	cluster
553	2	cluster
554	2	cluster
555	2	cluster
556	2	cluster
557	2	cluster
558	2	cluster
559	2	cluster
560	2	cluster
561	2	cluster
562	-1	noise
563	-1	noise
564	-1	noise
565	-1	noise
566	-1	noise
567	-1	noise
