Network_name Station_name Latitude Longitude Elevation_km
DS 41 40.81674622 14.17111174 0.0
DS 83 40.81742571 14.16928148 0.0
DS 125 40.81909053 14.16936637 0.0
DS 174 40.82057037 14.17037245 0.0
DS 216 40.82109431 14.1722688 0.0
DS 258 40.82255935 14.17104067 0.0
DS 307 40.82369952 14.16938346 0.0
DS 349 40.82418079 14.16700286 0.0
DS 399 40.82441557 14.16456412 0.0
DS 441 40.82412317 14.16216877 0.0
DS 483 40.82278287 14.16046675 0.0
DS 534 40.82162919 14.158528 0.0
DS 576 40.82045997 14.15688383 0.0
DS 618 40.82081083 14.15453076 0.0
DS 676 40.82134485 14.15222313 0.0
DS 718 40.8213606 14.14981001 0.0
DS 760 40.82182888 14.14745751 0.0
DS 810 40.82196392 14.1450962 0.0
DS 852 40.82284735 14.14295662 0.0
DS 894 40.82321993 14.140619 0.0
DS 944 40.82314544 14.13819204 0.0
DS 986 40.8244718 14.13723637 0.0
DS 1028 40.82622347 14.13623671 0.0
DS 1081 40.8275012 14.13433498 0.0
DS 1123 40.82833373 14.13228242 0.0
DS 1175 40.8295052 14.13031042 0.0
DS 1225 40.82869202 14.12823507 0.0
DS 1277 40.82700077 14.12721895 0.0
DS 1319 40.82530955 14.12620844 0.0
DS 1361 40.82527544 14.12494105 0.0
DS 1414 40.82580073 14.12364958 0.0
DS 1493 40.82626434 14.12347662 0.0
DS 1535 40.82634 14.12245621 0.0
DS 1577 40.82684091 14.12122064 0.0
DS 1632 40.82720662 14.1195146 0.0
DS 1674 40.82860794 14.11797935 0.0
DS 1716 40.82950187 14.11586538 0.0
DS 1771 40.83057358 14.11394941 0.0
DS 1813 40.83161699 14.11200198 0.0
DS 1860 40.83264628 14.11004898 0.0
DS 1902 40.83382425 14.1084667 0.0
DS 1944 40.83415529 14.1061363 0.0
DS 1986 40.83417196 14.10376837 0.0
DS 2035 40.83326461 14.10179576 0.0
DS 2086 40.83307489 14.09992273 0.0
DS 2128 40.83394468 14.09797842 0.0
DS 2177 40.83315316 14.09582073 0.0
DS 2230 40.83237265 14.0936015 0.0
DS 2272 40.83164176 14.09138544 0.0
DS 2314 40.83135172 14.08916198 0.0
DS 2356 40.83105062 14.08682056 0.0
DS 2398 40.8302136 14.08460928 0.0
DS 2449 40.83038393 14.08254203 0.0
DS 2491 40.83030854 14.08028093 0.0
DS 2533 40.83012415 14.07794663 0.0
DS 2575 40.83011276 14.07566758 0.0
DS 2617 40.82851869 14.07480832 0.0
DS 2659 40.8269056 14.07380172 0.0
DS 2701 40.82568176 14.07206836 0.0
DS 2743 40.82465771 14.07007957 0.0
DS 2785 40.82449526 14.06817732 0.0
DS 2835 40.82522471 14.06608848 0.0
DS 2877 40.82613913 14.06431957 0.0
DS 2919 40.82592991 14.06212847 0.0
DS 2961 40.82677437 14.06031481 0.0
DS 3003 40.82586906 14.05932337 0.0
DS 3045 40.82417208 14.06037514 0.0
DS 3087 40.8225662 14.06167425 0.0
DS 3129 40.82091842 14.0615113 0.0
DS 3178 40.81942947 14.06127236 0.0
DS 3220 40.81929286 14.06328384 0.0
DS 3262 40.81910791 14.06527084 0.0
DS 3304 40.81840173 14.06703853 0.0
DS 3346 40.81773105 14.06521191 0.0
DS 3388 40.81773567 14.06317175 0.0
DS 3430 40.8173633 14.0635869 0.0
DS 3472 40.81773987 14.06538917 0.0
DS 3514 40.81825907 14.06716539 0.0
DS 3556 40.81840919 14.06925581 0.0
DS 3598 40.81934641 14.07089831 0.0
DS 3640 40.82083399 14.07142753 0.0
DS 3682 40.82050386 14.07197914 0.0
DS 3724 40.81875907 14.07143512 0.0
DS 3772 40.81699011 14.07109007 0.0
DS 3814 40.81540992 14.07191378 0.0
DS 3856 40.81412512 14.07363635 0.0
DS 3898 40.81283029 14.07539137 0.0
DS 3940 40.81191998 14.07667194 0.0
DS 3990 40.81167124 14.07769457 0.0
DS 4032 40.81126386 14.07692635 0.0
DS 4082 40.8102393 14.07827283 0.0
DS 4124 40.80901832 14.07996806 0.0
DS 4166 40.8074385 14.07963729 0.0
DS 4213 40.80582633 14.07938583 0.0
DS 4255 40.80429769 14.07860554 0.0
DS 4297 40.80267547 14.07811028 0.0
DS 4339 40.80105808 14.07758817 0.0
DS 4381 40.79945208 14.07726379 0.0
DS 4423 40.79883221 14.07587927 0.0
DS 4465 40.79865084 14.07376226 0.0
DS 4507 40.79875591 14.07181636 0.0
DS 4549 40.79820752 14.06958417 0.0
