cluster,depth_start_m,depth_end_m,vp_mean_ms,vs_mean_ms,n_points
1,101.77,110.93,1582.3,859.5,10
2,111.94,146.55,1737.3,943.8,35
3,147.56,174.02,2182.7,1028.0,27
4,175.04,227.96,2541.7,1076.7,53
5,228.98,362.29,2614.1,1108.5,132
6,363.31,500.70,2950.8,1338.3,136
7,501.71,531.23,3221.4,1594.0,30
8,532.24,623.84,3841.9,1944.3,91
9,624.85,697.11,4102.1,2209.1,72
10,698.13,754.10,4098.9,2178.1,56
11,755.12,793.79,3962.0,2285.7,39
12,794.80,839.58,4319.4,2570.2,45
13,840.60,873.17,4976.1,2943.8,33
14,874.18,916.93,5102.2,3034.2,43
15,917.94,950.00,5252.3,3119.1,11
