%iDASCh East	North   IntDist CumDist
  41 430096.15 4518745.00 0.00 0.00
  42 430096.47 4518752.37 7.39 7.39
  43 430096.78 4518759.75 7.39 14.77
  44 430097.10 4518767.13 7.39 22.16
  45 430097.42 4518774.51 7.39 29.54
  46 430097.74 4518781.89 7.39 36.93
  47 430091.40 4518783.30 6.50 43.42
  48 430084.03 4518783.80 7.39 50.81
  49 430076.66 4518784.30 7.39 58.19
  50 430069.29 4518784.79 7.39 65.58
  51 430061.92 4518785.29 7.39 72.96
  52 430054.56 4518785.79 7.39 80.35
  53 430047.19 4518786.28 7.39 87.73
  54 430039.82 4518786.78 7.39 95.12
  55 430038.49 4518786.87 1.34 96.45
  56 430037.15 4518786.96 1.34 97.79
  57 430035.82 4518787.05 1.34 99.13
  58 430034.49 4518787.14 1.34 100.46
  59 430033.16 4518787.23 1.34 101.80
  60 430031.82 4518787.32 1.34 103.13
  61 430030.49 4518787.41 1.34 104.47
  62 430029.16 4518787.50 1.34 105.80
  63 430027.83 4518787.59 1.34 107.14
  64 430026.49 4518787.68 1.34 108.47
  65 430025.16 4518787.77 1.34 109.81
  66 430023.83 4518787.86 1.34 111.14
  67 430022.50 4518787.95 1.34 112.48
  68 430021.16 4518788.04 1.34 113.82
  69 430019.83 4518788.13 1.34 115.15
  70 430018.50 4518788.22 1.34 116.49
  71 430017.17 4518788.31 1.34 117.82
  72 430015.83 4518788.40 1.34 119.16
  73 430013.84 4518788.53 2.00 121.16
  74 430011.84 4518788.67 2.00 123.16
  75 430002.34 4518789.31 9.52 132.68
  76 429992.85 4518789.95 9.52 142.20
  77 429983.35 4518790.59 9.52 151.72
  78 429973.85 4518791.23 9.52 161.23
  79 429964.36 4518791.87 9.52 170.75
  80 429958.05 4518797.93 8.75 179.50
  81 429952.87 4518805.92 9.52 189.02
  82 429947.69 4518813.90 9.52 198.53
  83 429942.51 4518821.89 9.52 208.05
  84 429937.34 4518829.87 9.52 217.57
  85 429932.16 4518837.86 9.52 227.08
  86 429932.91 4518847.33 9.50 236.59
  87 429933.72 4518856.81 9.52 246.10
  88 429934.53 4518866.29 9.52 255.62
  89 429935.33 4518875.78 9.52 265.14
  90 429935.61 4518879.07 3.31 268.45
  91 429935.89 4518882.37 3.31 271.75
  92 429936.17 4518885.67 3.31 275.06
  93 429936.45 4518888.96 3.31 278.37
  94 429936.73 4518892.26 3.31 281.68
  95 429937.01 4518895.56 3.31 284.99
  96 429937.29 4518898.85 3.31 288.30
  97 429938.10 4518902.05 3.29 291.59
  98 429939.08 4518905.21 3.31 294.90
  99 429940.06 4518908.37 3.31 298.21
 100 429941.04 4518911.53 3.31 301.52
 101 429942.01 4518914.69 3.31 304.83
 102 429942.99 4518917.85 3.31 308.14
 103 429943.97 4518921.01 3.31 311.44
 104 429944.95 4518924.17 3.31 314.75
 105 429945.93 4518927.33 3.31 318.06
 106 429946.91 4518930.49 3.31 321.37
 107 429947.89 4518933.65 3.31 324.68
 108 429948.87 4518936.81 3.31 327.99
 109 429949.85 4518939.97 3.31 331.30
 110 429950.83 4518943.14 3.31 334.60
 111 429951.81 4518946.30 3.31 337.91
 112 429952.79 4518949.46 3.31 341.22
 113 429953.77 4518952.62 3.31 344.53
 114 429953.29 4518955.82 3.24 347.77
 115 429952.51 4518959.04 3.31 351.08
 116 429951.36 4518963.75 4.86 355.93
 117 429950.21 4518968.47 4.86 360.79
 118 429949.07 4518973.19 4.86 365.64
 119 429947.92 4518977.91 4.86 370.50
 120 429947.61 4518982.66 4.76 375.26
 121 429948.37 4518987.45 4.86 380.12
 122 429949.13 4518992.25 4.86 384.97
 123 429949.89 4518997.04 4.86 389.83
 124 429950.66 4519001.84 4.86 394.68
 125 429951.42 4519006.63 4.86 399.54
 126 429952.18 4519011.43 4.86 404.39
 127 429952.94 4519016.22 4.86 409.25
 128 429953.70 4519021.02 4.86 414.10
 129 429954.47 4519025.81 4.86 418.96
 130 429955.23 4519030.61 4.86 423.81
 131 429955.99 4519035.40 4.86 428.67
 132 429956.75 4519040.20 4.86 433.52
 133 429957.52 4519044.99 4.86 438.38
 134 429958.28 4519049.79 4.86 443.23
 135 429959.04 4519054.58 4.86 448.09
 136 429959.80 4519059.38 4.86 452.94
 137 429960.56 4519064.17 4.86 457.80
 138 429961.33 4519068.97 4.86 462.65
 139 429962.09 4519073.76 4.86 467.51
 140 429962.85 4519078.55 4.86 472.36
 141 429963.61 4519083.35 4.86 477.22
